                                                                                                                                                   
{'loss': 28.6736, 'learning_rate': 4.347826086956522e-07, 'epoch': 0.0}
{'loss': 28.5405, 'learning_rate': 8.695652173913044e-07, 'epoch': 0.0}
{'loss': 30.3208, 'learning_rate': 1.3043478260869566e-06, 'epoch': 0.0}
{'loss': 29.3872, 'learning_rate': 1.7391304347826088e-06, 'epoch': 0.01}
{'loss': 29.667, 'learning_rate': 2.173913043478261e-06, 'epoch': 0.01}
{'loss': 30.3242, 'learning_rate': 2.6086956521739132e-06, 'epoch': 0.01}
{'loss': 29.9663, 'learning_rate': 3.043478260869566e-06, 'epoch': 0.01}
{'loss': 30.0615, 'learning_rate': 3.4782608695652175e-06, 'epoch': 0.01}
{'loss': 30.2754, 'learning_rate': 3.91304347826087e-06, 'epoch': 0.01}
{'loss': 29.2246, 'learning_rate': 4.347826086956522e-06, 'epoch': 0.01}
{'loss': 29.9531, 'learning_rate': 4.782608695652174e-06, 'epoch': 0.01}
{'loss': 29.4585, 'learning_rate': 5.2173913043478265e-06, 'epoch': 0.02}
{'loss': 29.9316, 'learning_rate': 5.652173913043479e-06, 'epoch': 0.02}
{'loss': 29.1982, 'learning_rate': 6.086956521739132e-06, 'epoch': 0.02}
{'loss': 27.9963, 'learning_rate': 6.521739130434783e-06, 'epoch': 0.02}
{'loss': 28.3318, 'learning_rate': 6.956521739130435e-06, 'epoch': 0.02}
{'loss': 29.4136, 'learning_rate': 7.391304347826087e-06, 'epoch': 0.02}
{'loss': 27.3853, 'learning_rate': 7.82608695652174e-06, 'epoch': 0.02}
{'loss': 28.5034, 'learning_rate': 8.260869565217392e-06, 'epoch': 0.03}
{'loss': 28.291, 'learning_rate': 8.695652173913044e-06, 'epoch': 0.03}
{'loss': 27.1819, 'learning_rate': 9.130434782608697e-06, 'epoch': 0.03}
{'loss': 28.7954, 'learning_rate': 9.565217391304349e-06, 'epoch': 0.03}
{'loss': 26.6064, 'learning_rate': 1e-05, 'epoch': 0.03}
{'loss': 25.2073, 'learning_rate': 1.0434782608695653e-05, 'epoch': 0.03}
{'loss': 24.6274, 'learning_rate': 1.0869565217391305e-05, 'epoch': 0.03}
{'loss': 25.1274, 'learning_rate': 1.1304347826086957e-05, 'epoch': 0.03}
{'loss': 25.458, 'learning_rate': 1.1739130434782611e-05, 'epoch': 0.04}
{'loss': 24.1733, 'learning_rate': 1.2173913043478263e-05, 'epoch': 0.04}
{'loss': 22.7404, 'learning_rate': 1.2608695652173915e-05, 'epoch': 0.04}
{'loss': 21.8247, 'learning_rate': 1.3043478260869566e-05, 'epoch': 0.04}
{'loss': 19.99, 'learning_rate': 1.3478260869565218e-05, 'epoch': 0.04}
{'loss': 18.1595, 'learning_rate': 1.391304347826087e-05, 'epoch': 0.04}
{'loss': 19.0115, 'learning_rate': 1.4347826086956522e-05, 'epoch': 0.04}
{'loss': 17.9668, 'learning_rate': 1.4782608695652174e-05, 'epoch': 0.05}
{'loss': 16.2308, 'learning_rate': 1.5217391304347828e-05, 'epoch': 0.05}
{'loss': 15.16, 'learning_rate': 1.565217391304348e-05, 'epoch': 0.05}
{'loss': 14.4398, 'learning_rate': 1.6086956521739132e-05, 'epoch': 0.05}
{'loss': 14.4767, 'learning_rate': 1.6521739130434785e-05, 'epoch': 0.05}
