  3%|██▋                                                                                                       | 19/755 [16:48<10:49:59, 52.99s/it]
{'loss': 28.201, 'learning_rate': 4.347826086956522e-07, 'epoch': 0.0}
{'loss': 28.0051, 'learning_rate': 8.695652173913044e-07, 'epoch': 0.0}
{'loss': 29.7388, 'learning_rate': 1.3043478260869566e-06, 'epoch': 0.0}
{'loss': 28.949, 'learning_rate': 1.7391304347826088e-06, 'epoch': 0.01}
{'loss': 29.5367, 'learning_rate': 2.173913043478261e-06, 'epoch': 0.01}
{'loss': 29.7147, 'learning_rate': 2.6086956521739132e-06, 'epoch': 0.01}
{'loss': 29.3838, 'learning_rate': 3.043478260869566e-06, 'epoch': 0.01}
{'loss': 29.9742, 'learning_rate': 3.4782608695652175e-06, 'epoch': 0.01}
{'loss': 29.9046, 'learning_rate': 3.91304347826087e-06, 'epoch': 0.01}
{'loss': 28.845, 'learning_rate': 4.347826086956522e-06, 'epoch': 0.01}
{'loss': 29.4291, 'learning_rate': 4.782608695652174e-06, 'epoch': 0.01}
{'loss': 28.91, 'learning_rate': 5.2173913043478265e-06, 'epoch': 0.02}
{'loss': 29.3853, 'learning_rate': 5.652173913043479e-06, 'epoch': 0.02}
{'loss': 28.7859, 'learning_rate': 6.086956521739132e-06, 'epoch': 0.02}
{'loss': 27.5827, 'learning_rate': 6.521739130434783e-06, 'epoch': 0.02}
{'loss': 27.8452, 'learning_rate': 6.956521739130435e-06, 'epoch': 0.02}
{'loss': 29.2022, 'learning_rate': 7.391304347826087e-06, 'epoch': 0.02}
{'loss': 27.1189, 'learning_rate': 7.82608695652174e-06, 'epoch': 0.02}
{'loss': 28.104, 'learning_rate': 8.260869565217392e-06, 'epoch': 0.03}
